"state","county","kfr_pooled_pooled_p25","kfr_pooled_pooled_p75"
18,101,0.43238047,0.60529649
18,103,0.40072259,0.55622667
18,105,0.38870627,0.56749356
18,107,0.41177174,0.58853823
18,109,0.38895485,0.55561954
18,111,0.43447748,0.59892231
18,113,0.42344618,0.59046948
18,115,0.4250856,0.57973278
18,117,0.40780261,0.58667338
18,119,0.38821617,0.55353302
18,121,0.43263304,0.59861028
18,123,0.42909962,0.63094133
18,125,0.42052028,0.63900328
18,127,0.4322677,0.58883351
18,129,0.42544425,0.61454248
18,131,0.43988496,0.61256075
18,133,0.41275617,0.57343459
18,135,0.40808538,0.5881983
18,137,0.43696615,0.62169117
18,139,0.4148075,0.60609388
18,141,0.38336051,0.58342171
18,143,0.36708224,0.54461473
18,145,0.39811197,0.57398671
18,147,0.45960513,0.64005238
18,149,0.40425363,0.57594502
18,151,0.41969121,0.58082432
18,153,0.41892534,0.62701911
18,155,0.42358944,0.54649484
18,157,0.41734788,0.59559005
18,159,0.41064808,0.59771204
18,161,0.43043512,0.56175041
18,163,0.3814913,0.58892792
18,165,0.3837181,0.58260804
18,167,0.38801858,0.57741809
18,169,0.38540554,0.58355957
18,171,0.43126565,0.61536008
18,173,0.42642283,0.60994029
18,175,0.40074772,0.56985086
18,177,0.36517343,0.56169564
18,179,0.43372786,0.60912085
18,181,0.45897195,0.58828616
18,183,0.44391331,0.57703012
19,0,0.501038981717172,0.650365708585859
19,1,0.50461859,0.61884063
19,3,0.5095613,0.6692028
19,5,0.52721387,0.67875338
19,7,0.46017158,0.63581812
19,9,0.55742055,0.71625286
19,11,0.52106124,0.63959718
19,13,0.42956656,0.61998588
19,15,0.48359641,0.63712329
19,17,0.53109479,0.66795367
19,19,0.53037298,0.65310305
19,21,0.48461235,0.68822485
19,23,0.54333979,0.6801694
19,25,0.50944644,0.67513502
19,27,0.58958238,0.70173061
19,29,0.49927804,0.64574391
19,31,0.51325929,0.65813202
19,33,0.46855336,0.63142705
19,35,0.54719996,0.67085344
19,37,0.56015509,0.6939621
19,39,0.46185353,0.64443368
19,41,0.50383073,0.64592296
19,43,0.54263449,0.67443854
19,45,0.45923761,0.62562698
19,47,0.51571286,0.68177557
19,49,0.48483068,0.62742436
19,51,0.4862783,0.6197443
19,53,0.4724322,0.62851405
19,55,0.56759489,0.67063493
19,57,0.41981485,0.60655415
19,59,0.49695775,0.65408564
19,61,0.51326174,0.66482681
19,63,0.5146054,0.65384775
19,65,0.51377302,0.66770399
19,67,0.50077283,0.67109925
19,69,0.50329876,0.64330983
19,71,0.46658877,0.64952242
19,73,0.49935845,0.66935378
19,75,0.53651685,0.67223966
19,77,0.51752061,0.66038597
19,79,0.47511137,0.6457932
19,81,0.5377174,0.65102977
19,83,0.50678074,0.68424684
19,85,0.49009487,0.64748919
19,87,0.46819261,0.62990588
19,89,0.54130363,0.65654653
19,91,0.52876306,0.69203907
19,93,0.54538429,0.66740781
19,95,0.52879578,0.65129137
19,97,0.51322109,0.65463525
19,99,0.46030825,0.61598814
19,101,0.47219929,0.583031
19,103,0.47664461,0.61306918
19,105,0.525617,0.6587944
19,107,0.50303537,0.65976393
19,109,0.59000456,0.70227325
19,111,0.42758539,0.61280298
